area_code,area_name,period,value,metric
Canada,Canada,1949-01,18.5,cpi_rented_accommodation
Canada,Canada,1949-02,18.5,cpi_rented_accommodation
Canada,Canada,1949-03,18.5,cpi_rented_accommodation
Canada,Canada,1949-04,18.7,cpi_rented_accommodation
Canada,Canada,1949-05,18.7,cpi_rented_accommodation
Canada,Canada,1949-06,18.7,cpi_rented_accommodation
Canada,Canada,1949-07,18.8,cpi_rented_accommodation
Canada,Canada,1949-08,18.8,cpi_rented_accommodation
Canada,Canada,1949-09,19.0,cpi_rented_accommodation
Canada,Canada,1949-10,19.0,cpi_rented_accommodation
Canada,Canada,1949-11,19.0,cpi_rented_accommodation
Canada,Canada,1949-12,19.1,cpi_rented_accommodation
Canada,Canada,1950-01,19.1,cpi_rented_accommodation
Canada,Canada,1950-02,19.1,cpi_rented_accommodation
Canada,Canada,1950-03,20.3,cpi_rented_accommodation
Canada,Canada,1950-04,20.3,cpi_rented_accommodation
Canada,Canada,1950-05,20.3,cpi_rented_accommodation
Canada,Canada,1950-06,20.3,cpi_rented_accommodation
Canada,Canada,1950-07,20.6,cpi_rented_accommodation
Canada,Canada,1950-08,20.6,cpi_rented_accommodation
Canada,Canada,1950-09,20.8,cpi_rented_accommodation
Canada,Canada,1950-10,20.8,cpi_rented_accommodation
Canada,Canada,1950-11,20.9,cpi_rented_accommodation
Canada,Canada,1950-12,20.9,cpi_rented_accommodation
Canada,Canada,1951-01,20.9,cpi_rented_accommodation
Canada,Canada,1951-02,20.9,cpi_rented_accommodation
Canada,Canada,1951-03,21.0,cpi_rented_accommodation
Canada,Canada,1951-04,21.0,cpi_rented_accommodation
Canada,Canada,1951-05,21.0,cpi_rented_accommodation
Canada,Canada,1951-06,21.5,cpi_rented_accommodation
Canada,Canada,1951-07,21.5,cpi_rented_accommodation
Canada,Canada,1951-08,21.5,cpi_rented_accommodation
Canada,Canada,1951-09,21.9,cpi_rented_accommodation
Canada,Canada,1951-10,21.9,cpi_rented_accommodation
Canada,Canada,1951-11,22.2,cpi_rented_accommodation
Canada,Canada,1951-12,22.2,cpi_rented_accommodation
Canada,Canada,1952-01,22.2,cpi_rented_accommodation
Canada,Canada,1952-02,22.2,cpi_rented_accommodation
Canada,Canada,1952-03,22.5,cpi_rented_accommodation
Canada,Canada,1952-04,22.5,cpi_rented_accommodation
Canada,Canada,1952-05,22.5,cpi_rented_accommodation
Canada,Canada,1952-06,22.8,cpi_rented_accommodation
Canada,Canada,1952-07,22.8,cpi_rented_accommodation
Canada,Canada,1952-08,22.8,cpi_rented_accommodation
Canada,Canada,1952-09,22.9,cpi_rented_accommodation
Canada,Canada,1952-10,22.9,cpi_rented_accommodation
Canada,Canada,1952-11,22.9,cpi_rented_accommodation
Canada,Canada,1952-12,23.1,cpi_rented_accommodation
Canada,Canada,1953-01,23.2,cpi_rented_accommodation
Canada,Canada,1953-02,23.3,cpi_rented_accommodation
Canada,Canada,1953-03,23.3,cpi_rented_accommodation
Canada,Canada,1953-04,23.3,cpi_rented_accommodation
Canada,Canada,1953-05,23.3,cpi_rented_accommodation
Canada,Canada,1953-06,23.5,cpi_rented_accommodation
Canada,Canada,1953-07,23.6,cpi_rented_accommodation
Canada,Canada,1953-08,23.7,cpi_rented_accommodation
Canada,Canada,1953-09,23.7,cpi_rented_accommodation
Canada,Canada,1953-10,23.8,cpi_rented_accommodation
Canada,Canada,1953-11,23.9,cpi_rented_accommodation
Canada,Canada,1953-12,24.0,cpi_rented_accommodation
Canada,Canada,1954-01,24.0,cpi_rented_accommodation
Canada,Canada,1954-02,24.1,cpi_rented_accommodation
Canada,Canada,1954-03,24.1,cpi_rented_accommodation
Canada,Canada,1954-04,24.2,cpi_rented_accommodation
Canada,Canada,1954-05,24.2,cpi_rented_accommodation
Canada,Canada,1954-06,24.3,cpi_rented_accommodation
Canada,Canada,1954-07,24.4,cpi_rented_accommodation
Canada,Canada,1954-08,24.6,cpi_rented_accommodation
Canada,Canada,1954-09,24.6,cpi_rented_accommodation
Canada,Canada,1954-10,24.6,cpi_rented_accommodation
Canada,Canada,1954-11,24.7,cpi_rented_accommodation
Canada,Canada,1954-12,24.8,cpi_rented_accommodation
Canada,Canada,1955-01,24.8,cpi_rented_accommodation
Canada,Canada,1955-02,24.8,cpi_rented_accommodation
Canada,Canada,1955-03,24.8,cpi_rented_accommodation
Canada,Canada,1955-04,24.9,cpi_rented_accommodation
Canada,Canada,1955-05,24.9,cpi_rented_accommodation
Canada,Canada,1955-06,25.0,cpi_rented_accommodation
Canada,Canada,1955-07,25.1,cpi_rented_accommodation
Canada,Canada,1955-08,25.1,cpi_rented_accommodation
Canada,Canada,1955-09,25.1,cpi_rented_accommodation
Canada,Canada,1955-10,25.2,cpi_rented_accommodation
Canada,Canada,1955-11,25.2,cpi_rented_accommodation
Canada,Canada,1955-12,25.3,cpi_rented_accommodation
Canada,Canada,1956-01,25.3,cpi_rented_accommodation
Canada,Canada,1956-02,25.3,cpi_rented_accommodation
Canada,Canada,1956-03,25.3,cpi_rented_accommodation
Canada,Canada,1956-04,25.4,cpi_rented_accommodation
Canada,Canada,1956-05,25.4,cpi_rented_accommodation
Canada,Canada,1956-06,25.5,cpi_rented_accommodation
Canada,Canada,1956-07,25.5,cpi_rented_accommodation
Canada,Canada,1956-08,25.6,cpi_rented_accommodation
Canada,Canada,1956-09,25.6,cpi_rented_accommodation
Canada,Canada,1956-10,25.6,cpi_rented_accommodation
Canada,Canada,1956-11,25.6,cpi_rented_accommodation
Canada,Canada,1956-12,25.7,cpi_rented_accommodation
Canada,Canada,1957-01,25.7,cpi_rented_accommodation
Canada,Canada,1957-02,25.7,cpi_rented_accommodation
Canada,Canada,1957-03,25.7,cpi_rented_accommodation
Canada,Canada,1957-04,25.7,cpi_rented_accommodation
Canada,Canada,1957-05,25.8,cpi_rented_accommodation
Canada,Canada,1957-06,25.9,cpi_rented_accommodation
Canada,Canada,1957-07,26.0,cpi_rented_accommodation
Canada,Canada,1957-08,26.1,cpi_rented_accommodation
Canada,Canada,1957-09,26.1,cpi_rented_accommodation
Canada,Canada,1957-10,26.1,cpi_rented_accommodation
Canada,Canada,1957-11,26.1,cpi_rented_accommodation
Canada,Canada,1957-12,26.1,cpi_rented_accommodation
Canada,Canada,1958-01,26.1,cpi_rented_accommodation
Canada,Canada,1958-02,26.2,cpi_rented_accommodation
Canada,Canada,1958-03,26.2,cpi_rented_accommodation
Canada,Canada,1958-04,26.2,cpi_rented_accommodation
Canada,Canada,1958-05,26.3,cpi_rented_accommodation
Canada,Canada,1958-06,26.4,cpi_rented_accommodation
Canada,Canada,1958-07,26.4,cpi_rented_accommodation
Canada,Canada,1958-08,26.4,cpi_rented_accommodation
Canada,Canada,1958-09,26.5,cpi_rented_accommodation
Canada,Canada,1958-10,26.5,cpi_rented_accommodation
Canada,Canada,1958-11,26.6,cpi_rented_accommodation
Canada,Canada,1958-12,26.6,cpi_rented_accommodation
Canada,Canada,1959-01,26.6,cpi_rented_accommodation
Canada,Canada,1959-02,26.6,cpi_rented_accommodation
Canada,Canada,1959-03,26.6,cpi_rented_accommodation
Canada,Canada,1959-04,26.7,cpi_rented_accommodation
Canada,Canada,1959-05,26.7,cpi_rented_accommodation
Canada,Canada,1959-06,26.7,cpi_rented_accommodation
Canada,Canada,1959-07,26.7,cpi_rented_accommodation
Canada,Canada,1959-08,26.8,cpi_rented_accommodation
Canada,Canada,1959-09,26.8,cpi_rented_accommodation
Canada,Canada,1959-10,26.8,cpi_rented_accommodation
Canada,Canada,1959-11,26.8,cpi_rented_accommodation
Canada,Canada,1959-12,26.8,cpi_rented_accommodation
Canada,Canada,1960-01,26.8,cpi_rented_accommodation
Canada,Canada,1960-02,26.8,cpi_rented_accommodation
Canada,Canada,1960-03,26.8,cpi_rented_accommodation
Canada,Canada,1960-04,26.8,cpi_rented_accommodation
Canada,Canada,1960-05,26.8,cpi_rented_accommodation
Canada,Canada,1960-06,26.8,cpi_rented_accommodation
Canada,Canada,1960-07,26.8,cpi_rented_accommodation
Canada,Canada,1960-08,26.8,cpi_rented_accommodation
Canada,Canada,1960-09,26.8,cpi_rented_accommodation
Canada,Canada,1960-10,26.8,cpi_rented_accommodation
Canada,Canada,1960-11,26.8,cpi_rented_accommodation
Canada,Canada,1960-12,26.8,cpi_rented_accommodation
Canada,Canada,1961-01,26.8,cpi_rented_accommodation
Canada,Canada,1961-02,26.8,cpi_rented_accommodation
Canada,Canada,1961-03,26.8,cpi_rented_accommodation
Canada,Canada,1961-04,26.8,cpi_rented_accommodation
Canada,Canada,1961-05,26.8,cpi_rented_accommodation
Canada,Canada,1961-06,26.8,cpi_rented_accommodation
Canada,Canada,1961-07,26.9,cpi_rented_accommodation
Canada,Canada,1961-08,26.8,cpi_rented_accommodation
Canada,Canada,1961-09,26.8,cpi_rented_accommodation
Canada,Canada,1961-10,26.9,cpi_rented_accommodation
Canada,Canada,1961-11,26.9,cpi_rented_accommodation
Canada,Canada,1961-12,26.9,cpi_rented_accommodation
Canada,Canada,1962-01,26.9,cpi_rented_accommodation
Canada,Canada,1962-02,26.9,cpi_rented_accommodation
Canada,Canada,1962-03,26.9,cpi_rented_accommodation
Canada,Canada,1962-04,26.9,cpi_rented_accommodation
Canada,Canada,1962-05,26.9,cpi_rented_accommodation
Canada,Canada,1962-06,27.0,cpi_rented_accommodation
Canada,Canada,1962-07,27.1,cpi_rented_accommodation
Canada,Canada,1962-08,27.1,cpi_rented_accommodation
Canada,Canada,1962-09,27.1,cpi_rented_accommodation
Canada,Canada,1962-10,27.1,cpi_rented_accommodation
Canada,Canada,1962-11,27.1,cpi_rented_accommodation
Canada,Canada,1962-12,27.1,cpi_rented_accommodation
Canada,Canada,1963-01,27.1,cpi_rented_accommodation
Canada,Canada,1963-02,27.1,cpi_rented_accommodation
Canada,Canada,1963-03,27.1,cpi_rented_accommodation
Canada,Canada,1963-04,27.1,cpi_rented_accommodation
Canada,Canada,1963-05,27.1,cpi_rented_accommodation
Canada,Canada,1963-06,27.1,cpi_rented_accommodation
Canada,Canada,1963-07,27.1,cpi_rented_accommodation
Canada,Canada,1963-08,27.1,cpi_rented_accommodation
Canada,Canada,1963-09,27.1,cpi_rented_accommodation
Canada,Canada,1963-10,27.1,cpi_rented_accommodation
Canada,Canada,1963-11,27.1,cpi_rented_accommodation
Canada,Canada,1963-12,27.1,cpi_rented_accommodation
Canada,Canada,1964-01,27.1,cpi_rented_accommodation
