dimension,slice,n,precision,recall,f1,ci_low,ci_high
property_type,commercial,24,0.813,0.726,0.767,0.716,0.812
property_type,industrial,10,0.823,0.793,0.807,0.75,0.861
property_type,residential,3,0.958,0.885,0.92,0.85,0.967
property_type,other,3,0.923,0.923,0.923,0.893,0.958
region_bucket,Midwest,7,0.83,0.75,0.788,0.733,0.851
region_bucket,Northeast,4,0.778,0.8,0.789,0.718,0.875
region_bucket,non-US,4,0.786,0.815,0.8,0.75,0.868
region_bucket,unknown,4,0.857,0.75,0.8,0.608,0.936
region_bucket,South,9,0.896,0.732,0.805,0.692,0.893
region_bucket,West,12,0.833,0.8,0.816,0.765,0.86
urbanicity,urban,4,0.846,0.647,0.733,0.364,0.875
urbanicity,suburban,18,0.827,0.788,0.807,0.758,0.855
urbanicity,unknown,16,0.847,0.777,0.81,0.76,0.858
urbanicity,rural,2,0.842,0.842,0.842,0.8,0.889
doc_length_bucket,long (>100k chars),14,0.81,0.692,0.747,0.67,0.809
doc_length_bucket,short (<15k chars),12,0.831,0.793,0.812,0.765,0.857
doc_length_bucket,medium (15k-100k),14,0.866,0.836,0.851,0.802,0.896
